{\rtf1\ansi\ansicpg1252\cocoartf1671\cocoasubrtf100
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\paperw11900\paperh16840\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\sl280\partightenfactor0

\f0\fs24 \cf2 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 type;time;latitude;longitude;altitude (m);speed (km/h);slope (%);distance (km);distance_interval (m);name;desc\
T;2018-08-28 17:29:06;50.373452000;6.936493000;468.2;68.4;1.9;7.849;19.01;;\
T;2018-08-28 17:29:07;50.373444000;6.936218000;467.6;70.5;-2.9;7.869;19.58;;\
T;2018-08-28 17:29:08;50.373437000;6.935930000;466.6;73.8;-5.0;7.890;20.50;;\
T;2018-08-28 17:29:09;50.373425000;6.935619000;465.2;79.8;-6.2;7.912;22.16;;\
T;2018-08-28 17:29:10;50.373439000;6.935319000;462.4;77.0;-13.1;7.933;21.40;;\
T;2018-08-28 17:29:11;50.373469000;6.935028000;460.2;75.5;-10.5;7.954;20.97;;\
T;2018-08-28 17:29:15;50.373849000;6.933889000;441.4;82.3;-20.5;8.045;91.39;;\
T;2018-08-28 17:29:16;50.373961000;6.933683000;440.9;69.2;-2.8;8.065;19.23;;\
T;2018-08-28 17:29:17;50.374052000;6.933575000;441.0;45.7;0.6;8.077;12.71;;\
T;2018-08-28 17:29:18;50.374142000;6.933543000;441.9;37.0;9.3;8.088;10.27;;\
T;2018-08-28 17:29:19;50.374360000;6.933529000;442.1;87.4;0.8;8.112;24.27;;\
T;2018-08-28 17:29:20;50.374614000;6.933675000;441.2;108.4;-3.0;8.142;30.10;;\
T;2018-08-28 17:29:23;50.375458000;6.934582000;424.1;136.7;-15.0;8.256;113.92;;\
T;2018-08-28 17:29:24;50.375619000;6.934929000;425.0;109.8;3.2;8.286;30.50;;\
T;2018-08-28 17:29:25;50.375540000;6.935401000;430.3;124.9;15.1;8.321;34.71;;\
T;2018-08-28 17:29:26;50.375633000;6.935753000;431.0;97.5;2.6;8.348;27.09;;\
T;2018-08-28 17:29:27;50.375775000;6.936061000;430.1;97.2;-3.1;8.375;27.01;;\
T;2018-08-28 17:29:28;50.375929000;6.936333000;428.0;93.0;-8.4;8.401;25.84;;\
T;2018-08-28 17:29:29;50.376087000;6.936598000;428.2;92.8;1.0;8.427;25.77;;\
T;2018-08-28 17:29:30;50.376274000;6.936818000;427.2;93.7;-4.1;8.453;26.03;;\
T;2018-08-28 17:29:31;50.376464000;6.936980000;426.4;86.7;-3.1;8.477;24.07;;\
T;2018-08-28 17:29:32;50.376633000;6.937086000;425.7;72.9;-3.7;8.497;20.25;;\
T;2018-08-28 17:29:33;50.376829000;6.937149000;420.7;80.1;-22.2;8.519;22.26;;\
T;2018-08-28 17:29:34;50.377048000;6.937264000;416.2;92.5;-17.7;8.545;25.70;;\
T;2018-08-28 17:29:35;50.377241000;6.937414000;413.1;86.3;-12.8;8.569;23.97;;\
T;2018-08-28 17:29:36;50.377404000;6.937569000;409.3;76.4;-18.0;8.590;21.22;;\
T;2018-08-28 17:29:37;50.377566000;6.937778000;405.9;84.1;-14.7;8.614;23.36;;\
T;2018-08-28 17:29:38;50.377679000;6.937939000;402.4;61.2;-20.3;8.631;17.00;;\
T;2018-08-28 17:29:39;50.377759000;6.938139000;400.0;60.4;-14.4;8.648;16.78;;\
T;2018-08-28 17:29:40;50.377832000;6.938363000;398.6;64.4;-7.6;8.665;17.88;;\
T;2018-08-28 17:29:41;50.377873000;6.938561000;397.6;53.3;-7.0;8.680;14.80;;\
T;2018-08-28 17:29:42;50.377899000;6.938791000;396.3;59.8;-7.8;8.697;16.61;;\
T;2018-08-28 17:29:43;50.377865000;6.939109000;396.0;82.6;-1.3;8.720;22.93;;\
T;2018-08-28 17:29:44;50.377798000;6.939480000;396.2;98.7;0.6;8.747;27.42;;\
T;2018-08-28 17:29:45;50.377696000;6.939859000;395.9;105.3;-0.9;8.776;29.25;;\
T;2018-08-28 17:29:46;50.377577000;6.940323000;394.6;128.0;-3.8;8.812;35.56;;\
T;2018-08-28 17:29:47;50.377382000;6.940705000;392.5;125.2;-6.0;8.847;34.77;;\
T;2018-08-28 17:29:48;50.377197000;6.941120000;386.1;129.5;-17.6;8.883;35.99;;\
T;2018-08-28 17:29:49;50.377025000;6.941538000;383.6;127.3;-7.1;8.918;35.36;;\
T;2018-08-28 17:29:50;50.376870000;6.941908000;383.9;113.3;0.9;8.950;31.46;;\
T;2018-08-28 17:29:51;50.376724000;6.942222000;383.0;99.4;-3.4;8.977;27.62;;\
T;2018-08-28 17:29:52;50.376601000;6.942457000;380.3;77.8;-12.4;8.999;21.60;;\
T;2018-08-28 17:29:53;50.376485000;6.942612000;378.0;61.1;-13.3;9.016;16.97;;\
T;2018-08-28 17:29:54;50.376355000;6.942684000;377.2;55.2;-5.5;9.031;15.34;;\
T;2018-08-28 17:29:55;50.376246000;6.942744000;376.3;46.3;-6.9;9.044;12.85;;\
T;2018-08-28 17:29:56;50.376147000;6.942834000;375.8;45.9;-3.8;9.057;12.74;;\
T;2018-08-28 17:29:57;50.376094000;6.943006000;376.4;48.9;4.1;9.070;13.58;;\
T;2018-08-28 17:29:58;50.376064000;6.943209000;377.6;53.4;8.1;9.085;14.82;;\
T;2018-08-28 17:29:59;50.376066000;6.943419000;378.9;53.8;9.2;9.100;14.94;;\
T;2018-08-28 17:30:00;50.376086000;6.943625000;380.8;53.4;12.7;9.115;14.82;;\
T;2018-08-28 17:30:01;50.376121000;6.943804000;382.4;47.9;12.1;9.128;13.32;;\
T;2018-08-28 17:30:02;50.376160000;6.943948000;382.5;40.0;0.1;9.139;11.12;;\
T;2018-08-28 17:30:03;50.376257000;6.944121000;379.6;58.9;-17.5;9.156;16.37;;\
T;2018-08-28 17:30:04;50.376377000;6.944340000;376.1;73.9;-17.2;9.176;20.52;;\
T;2018-08-28 17:30:05;50.376491000;6.944634000;371.3;88.0;-19.6;9.201;24.46;;\
T;2018-08-28 17:30:06;50.376612000;6.944945000;365.0;93.2;-24.3;9.227;25.90;;\
T;2018-08-28 17:30:07;50.376711000;6.945317000;362.2;103.2;-9.6;9.255;28.66;;\
T;2018-08-28 17:30:08;50.376760000;6.945675000;360.4;93.8;-7.1;9.281;26.04;;\
T;2018-08-28 17:30:09;50.376783000;6.946051000;359.3;96.7;-4.0;9.308;26.87;;\
T;2018-08-28 17:30:10;50.376809000;6.946440000;357.1;100.2;-7.8;9.336;27.82;;\
T;2018-08-28 17:30:11;50.376823000;6.946799000;354.8;92.1;-9.0;9.362;25.58;;\
T;2018-08-28 17:30:12;50.376835000;6.947202000;352.5;103.3;-8.0;9.390;28.70;;\
T;2018-08-28 17:30:13;50.376821000;6.947587000;347.6;98.8;-17.8;9.418;27.43;;\
T;2018-08-28 17:30:14;50.376757000;6.947963000;344.9;99.6;-9.7;9.445;27.68;;\
T;2018-08-28 17:30:15;50.376685000;6.948342000;342.5;101.2;-8.5;9.473;28.12;;\
T;2018-08-28 17:30:16;50.376623000;6.948711000;340.9;97.7;-6.0;9.501;27.14;;\
T;2018-08-28 17:30:17;50.376582000;6.949014000;340.0;79.3;-4.2;9.523;22.03;;\
T;2018-08-28 17:30:18;50.376541000;6.949282000;340.3;70.6;1.7;9.542;19.60;;\
T;2018-08-28 17:30:19;50.376540000;6.949522000;339.3;61.5;-6.3;9.559;17.07;;\
T;2018-08-28 17:30:20;50.376582000;6.949752000;337.0;61.3;-13.5;9.576;17.01;;\
T;2018-08-28 17:30:21;50.376657000;6.949971000;334.3;63.6;-15.0;9.594;17.67;;\
T;2018-08-28 17:30:22;50.376791000;6.950138000;332.8;68.6;-8.1;9.613;19.06;;\
T;2018-08-28 17:30:23;50.376961000;6.950267000;332.2;75.7;-3.0;9.634;21.02;;\
T;2018-08-28 17:30:24;50.377157000;6.950386000;334.0;84.2;8.1;9.657;23.39;;\
T;2018-08-28 17:30:25;50.377401000;6.950454000;335.7;99.2;6.0;9.685;27.57;;\
T;2018-08-28 17:30:26;50.377663000;6.950485000;336.7;105.2;3.4;9.714;29.23;;\
T;2018-08-28 17:30:27;50.377916000;6.950486000;338.2;101.3;5.6;9.742;28.14;;\
T;2018-08-28 17:30:28;50.378148000;6.950512000;340.8;93.1;9.8;9.768;25.87;;\
T;2018-08-28 17:30:29;50.378356000;6.950546000;342.8;83.7;8.5;9.792;23.26;;\
T;2018-08-28 17:30:30;50.378539000;6.950642000;344.1;77.3;6.1;9.813;21.47;;\
T;2018-08-28 17:30:31;50.378668000;6.950790000;345.0;64.1;5.4;9.831;17.80;;\
T;2018-08-28 17:30:32;50.378786000;6.950989000;346.2;69.5;6.3;9.850;19.30;;\
T;2018-08-28 17:30:33;50.378880000;6.951161000;346.6;57.9;2.4;9.866;16.09;;\
T;2018-08-28 17:30:34;50.378936000;6.951336000;345.8;50.1;-6.2;9.880;13.92;;\
T;2018-08-28 17:30:35;50.378983000;6.951540000;345.4;55.5;-2.5;9.896;15.42;;\
T;2018-08-28 17:30:36;50.378999000;6.951743000;346.5;52.4;7.6;9.910;14.55;;\
T;2018-08-28 17:30:37;50.379069000;6.952008000;346.8;73.4;1.6;9.930;20.39;;\
T;2018-08-28 17:30:38;50.379152000;6.952306000;347.2;83.2;1.9;9.954;23.12;;\
T;2018-08-28 17:30:39;50.379231000;6.952596000;347.4;80.7;0.9;9.976;22.42;;\
T;2018-08-28 17:30:40;50.379305000;6.952894000;347.7;81.9;1.4;9.999;22.74;;\
T;2018-08-28 17:30:41;50.379375000;6.953204000;346.5;84.2;-5.1;10.022;23.38;;\
T;2018-08-28 17:30:42;50.379413000;6.953563000;346.8;93.2;1.1;10.048;25.88;;\
T;2018-08-28 17:30:43;50.379461000;6.953967000;348.2;105.2;4.7;10.077;29.23;;\
T;2018-08-28 17:30:44;50.379494000;6.954420000;351.5;116.7;10.2;10.110;32.43;;\
T;2018-08-28 17:30:45;50.379529000;6.954846000;353.9;110.0;7.8;10.140;30.55;;\
T;2018-08-28 17:30:46;50.379555000;6.955287000;355.7;113.4;5.6;10.172;31.50;;\
T;2018-08-28 17:30:47;50.379590000;6.955665000;357.1;97.8;5.3;10.199;27.17;;\
T;2018-08-28 17:30:48;50.379639000;6.956041000;357.9;98.3;2.9;10.226;27.29;;\
T;2018-08-28 17:30:49;50.379685000;6.956436000;359.0;102.8;3.9;10.255;28.56;;\
T;2018-08-28 17:30:50;50.379726000;6.956822000;361.1;100.2;7.6;10.283;27.83;;\
T;2018-08-28 17:30:51;50.379763000;6.957193000;365.3;96.1;15.5;10.309;26.71;;\
T;2018-08-28 17:30:52;50.379814000;6.957580000;367.5;101.2;7.9;10.337;28.11;;\
T;2018-08-28 17:30:53;50.379927000;6.957923000;367.1;98.8;-1.3;10.365;27.44;;\
T;2018-08-28 17:30:54;50.380073000;6.958238000;367.4;99.6;0.9;10.393;27.67;;\
T;2018-08-28 17:30:55;50.380224000;6.958540000;367.2;98.2;-0.5;10.420;27.27;;\
T;2018-08-28 17:30:56;50.380376000;6.958832000;366.6;96.4;-2.2;10.447;26.78;;\
T;2018-08-28 17:30:57;50.380519000;6.959119000;369.1;93.2;9.7;10.472;25.88;;\
T;2018-08-28 17:30:58;50.380659000;6.959393000;371.4;89.8;9.2;10.497;24.95;;\
T;2018-08-28 17:30:59;50.380791000;6.959662000;371.5;86.8;0.5;10.522;24.12;;\
T;2018-08-28 17:31:00;50.380924000;6.959916000;370.3;84.1;-5.5;10.545;23.35;;\
T;2018-08-28 17:31:01;50.381050000;6.960151000;367.0;78.5;-15.0;10.567;21.81;;\
T;2018-08-28 17:31:02;50.381163000;6.960395000;363.6;77.1;-15.9;10.588;21.43;;\
T;2018-08-28 17:31:03;50.381241000;6.960620000;361.2;65.5;-13.0;10.606;18.20;;\
T;2018-08-28 17:31:04;50.381207000;6.960870000;361.9;65.4;3.8;10.624;18.18;;\
T;2018-08-28 17:31:05;50.381071000;6.961108000;363.9;81.7;8.8;10.647;22.70;;\
T;2018-08-28 17:31:06;50.380863000;6.961318000;368.6;99.1;17.1;10.675;27.54;;\
T;2018-08-28 17:31:07;50.380589000;6.961403000;373.3;111.9;15.0;10.706;31.07;;\
T;2018-08-28 17:31:08;50.380364000;6.961477000;374.0;92.1;2.8;10.731;25.58;;\
T;2018-08-28 17:31:09;50.380118000;6.961470000;375.9;98.5;6.8;10.759;27.37;;\
T;2018-08-28 17:31:10;50.379883000;6.961459000;379.2;94.1;12.8;10.785;26.15;;\
T;2018-08-28 17:31:11;50.379639000;6.961413000;383.0;98.4;14.1;10.812;27.34;;\
T;2018-08-28 17:31:12;50.379383000;6.961354000;383.0;103.6;-0.0;10.841;28.78;;\
T;2018-08-28 17:31:13;50.379134000;6.961298000;380.2;100.7;-10.1;10.869;27.98;;\
T;2018-08-28 17:31:14;50.378861000;6.961276000;377.4;109.5;-9.4;10.899;30.41;;\
T;2018-08-28 17:31:15;50.378611000;6.961259000;378.9;100.2;5.4;10.927;27.84;;\
T;2018-08-28 17:31:16;50.378343000;6.961249000;380.9;107.4;7.0;10.957;29.82;;\
T;2018-08-28 17:31:17;50.378089000;6.961251000;382.3;101.7;4.8;10.985;28.25;;\
T;2018-08-28 17:31:18;50.377840000;6.961264000;384.6;99.8;8.2;11.013;27.71;;\
T;2018-08-28 17:31:19;50.377593000;6.961283000;387.2;99.0;9.4;11.041;27.51;;\
T;2018-08-28 17:31:20;50.377342000;6.961317000;389.8;100.9;9.5;11.069;28.02;;\
T;2018-08-28 17:31:21;50.377103000;6.961382000;392.8;97.1;10.9;11.096;26.98;;\
T;2018-08-28 17:31:22;50.376879000;6.961462000;396.1;92.0;12.9;11.121;25.56;;\
T;2018-08-28 17:31:23;50.376666000;6.961560000;399.2;88.9;12.6;11.146;24.70;;\
T;2018-08-28 17:31:24;50.376460000;6.961688000;401.2;88.8;8.4;11.170;24.66;;\
T;2018-08-28 17:31:25;50.376264000;6.961864000;402.4;90.5;4.6;11.196;25.14;;\
T;2018-08-28 17:31:26;50.376071000;6.962079000;401.7;94.9;-2.5;11.222;26.36;;\
T;2018-08-28 17:31:27;50.375898000;6.962333000;401.5;95.0;-0.8;11.248;26.40;;\
T;2018-08-28 17:31:28;50.375734000;6.962593000;404.3;93.5;10.8;11.274;25.98;;\
T;2018-08-28 17:31:29;50.375571000;6.962874000;405.3;97.2;3.7;11.301;26.99;;\
T;2018-08-28 17:31:30;50.375423000;6.963181000;404.4;98.5;-3.6;11.329;27.35;;\
T;2018-08-28 17:31:31;50.375297000;6.963525000;402.0;101.5;-8.2;11.357;28.20;;\
T;2018-08-28 17:31:32;50.375181000;6.963903000;402.9;107.4;3.0;11.387;29.83;;\
T;2018-08-28 17:31:33;50.375076000;6.964276000;406.6;104.4;12.6;11.416;28.99;;\
T;2018-08-28 17:31:34;50.374969000;6.964642000;406.7;103.1;0.5;11.444;28.63;;\
T;2018-08-28 17:31:35;50.374871000;6.965022000;407.3;104.9;1.9;11.473;29.15;;\
T;2018-08-28 17:31:36;50.374772000;6.965422000;406.0;109.8;-4.2;11.504;30.51;;\
T;2018-08-28 17:31:37;50.374673000;6.965806000;408.7;106.0;9.4;11.533;29.45;;\
T;2018-08-28 17:31:38;50.374581000;6.966176000;414.2;101.7;19.5;11.562;28.24;;\
T;2018-08-28 17:31:39;50.374490000;6.966519000;417.7;95.1;13.0;11.588;26.42;;\
T;2018-08-28 17:31:40;50.374427000;6.966857000;419.5;90.2;7.4;11.613;25.04;;\
T;2018-08-28 17:31:41;50.374398000;6.967217000;421.0;92.9;5.8;11.639;25.81;;\
T;2018-08-28 17:31:42;50.374423000;6.967619000;418.2;103.4;-9.7;11.668;28.73;;\
T;2018-08-28 17:31:43;50.374449000;6.968020000;416.0;103.2;-7.7;11.696;28.67;;\
T;2018-08-28 17:31:44;50.374468000;6.968417000;417.9;102.0;6.6;11.725;28.32;;\
T;2018-08-28 17:31:45;50.374484000;6.968821000;422.1;103.7;14.5;11.753;28.79;;\
T;2018-08-28 17:31:46;50.374484000;6.969233000;425.5;105.5;11.8;11.783;29.31;;\
T;2018-08-28 17:31:47;50.374481000;6.969646000;429.1;105.8;12.2;11.812;29.38;;\
T;2018-08-28 17:31:48;50.374476000;6.970081000;431.7;111.4;8.4;11.843;30.95;;\
T;2018-08-28 17:31:49;50.374460000;6.970549000;431.4;120.0;-0.8;11.876;33.34;;\
T;2018-08-28 17:31:50;50.374427000;6.971025000;433.2;122.6;5.1;11.911;34.06;;\
T;2018-08-28 17:31:51;50.374391000;6.971491000;436.8;120.2;10.9;11.944;33.39;;\
T;2018-08-28 17:31:52;50.374366000;6.971966000;438.9;122.1;6.2;11.978;33.90;;\
T;2018-08-28 17:31:53;50.374348000;6.972401000;442.4;111.6;11.2;12.009;31.01;;\
T;2018-08-28 17:31:54;50.374331000;6.972818000;447.7;107.0;18.0;12.039;29.72;;\
T;2018-08-28 17:31:55;50.374299000;6.973221000;452.7;104.0;17.3;12.067;28.89;;\
T;2018-08-28 17:31:56;50.374260000;6.973634000;457.7;106.9;16.7;12.097;29.70;;\
T;2018-08-28 17:31:57;50.374205000;6.974052000;461.3;109.3;11.9;12.127;30.36;;\
T;2018-08-28 17:31:58;50.374134000;6.974453000;462.7;106.6;4.6;12.157;29.60;;\
T;2018-08-28 17:31:59;50.374050000;6.974810000;462.0;97.4;-2.5;12.184;27.06;;\
T;2018-08-28 17:32:00;50.373955000;6.975129000;459.9;90.1;-8.3;12.209;25.03;;\
T;2018-08-28 17:32:01;50.373857000;6.975412000;459.6;82.4;-1.3;12.232;22.89;;\
T;2018-08-28 17:32:02;50.373751000;6.975676000;460.5;79.8;4.2;12.254;22.18;;\
T;2018-08-28 17:32:03;50.373645000;6.975971000;462.3;86.7;7.2;12.278;24.07;;\
T;2018-08-28 17:32:04;50.373520000;6.976283000;467.6;94.3;20.3;12.305;26.19;;\
T;2018-08-28 17:32:05;50.373355000;6.976584000;471.9;101.5;15.1;12.333;28.20;;\
T;2018-08-28 17:32:06;50.373175000;6.976877000;473.5;104.0;5.5;12.362;28.90;;\
T;2018-08-28 17:32:07;50.372992000;6.977152000;473.4;101.6;-0.0;12.390;28.23;;\
T;2018-08-28 17:32:08;50.372824000;6.977457000;475.3;103.1;6.6;12.418;28.64;;\
T;2018-08-28 17:32:09;50.372692000;6.977798000;478.6;102.1;11.7;12.447;28.36;;\
T;2018-08-28 17:32:10;50.372571000;6.978150000;482.3;102.3;12.7;12.475;28.43;;\
T;2018-08-28 17:32:11;50.372464000;6.978490000;483.8;97.0;5.6;12.502;26.96;;\
T;2018-08-28 17:32:12;50.372360000;6.978826000;486.2;95.6;9.0;12.529;26.56;;\
T;2018-08-28 17:32:13;50.372278000;6.979116000;486.9;81.2;3.2;12.551;22.56;;\
T;2018-08-28 17:32:14;50.372210000;6.979396000;489.1;76.7;10.6;12.573;21.31;;\
T;2018-08-28 17:32:15;50.372159000;6.979677000;490.8;74.8;7.8;12.593;20.78;;\
T;2018-08-28 17:32:16;50.372140000;6.979972000;492.6;75.9;8.8;12.615;21.09;;\
T;2018-08-28 17:32:17;50.372170000;6.980291000;494.3;82.6;7.3;12.637;22.94;;\
T;2018-08-28 17:32:18;50.372216000;6.980586000;495.9;77.8;7.5;12.659;21.60;;\
T;2018-08-28 17:32:19;50.372299000;6.980869000;498.0;79.7;9.4;12.681;22.15;;\
T;2018-08-28 17:32:20;50.372406000;6.981181000;500.8;90.7;11.2;12.706;25.19;;\
T;2018-08-28 17:32:21;50.372542000;6.981506000;505.8;99.5;18.2;12.734;27.63;;\
T;2018-08-28 17:32:22;50.372671000;6.981859000;510.0;104.1;14.3;12.763;28.92;;\
T;2018-08-28 17:32:23;50.372808000;6.982227000;512.5;109.1;8.5;12.793;30.29;;\
T;2018-08-28 17:32:24;50.372955000;6.982568000;513.5;105.3;3.3;12.822;29.26;;\
T;2018-08-28 17:32:25;50.373107000;6.982907000;513.4;106.0;-0.5;12.852;29.45;;\
T;2018-08-28 17:32:26;50.373257000;6.983250000;513.5;106.4;0.4;12.882;29.56;;\
T;2018-08-28 17:32:27;50.373421000;6.983554000;515.4;101.9;6.7;12.910;28.29;;\
T;2018-08-28 17:32:28;50.373582000;6.983837000;516.0;97.0;2.4;12.937;26.95;;\
T;2018-08-28 17:32:29;50.373756000;6.984112000;518.2;99.1;7.8;12.964;27.52;;\
T;2018-08-28 17:32:30;50.373921000;6.984357000;519.2;91.1;4.2;12.990;25.31;;\
T;2018-08-28 17:32:31;50.374070000;6.984607000;521.3;87.5;8.3;13.014;24.31;;\
T;2018-08-28 17:32:32;50.374207000;6.984873000;524.8;87.5;14.7;13.038;24.30;;\
T;2018-08-28 17:32:33;50.374293000;6.985192000;527.6;88.7;11.4;13.063;24.63;;\
T;2018-08-28 17:32:34;50.374354000;6.985530000;529.1;89.9;5.9;13.088;24.98;;\
T;2018-08-28 17:32:35;50.374379000;6.985892000;529.8;93.2;2.8;13.114;25.90;;\
T;2018-08-28 17:32:36;50.374382000;6.986274000;529.9;97.8;0.2;13.141;27.18;;\
T;2018-08-28 17:32:37;50.374405000;6.986672000;531.9;102.3;7.1;13.169;28.43;;\
T;2018-08-28 17:32:38;50.374425000;6.987019000;534.1;89.2;9.1;13.194;24.78;;\
T;2018-08-28 17:32:39;50.374449000;6.987359000;536.1;87.6;8.2;13.218;24.33;;\
T;2018-08-28 17:32:40;50.374477000;6.987670000;537.5;80.4;6.4;13.241;22.34;;\
T;2018-08-28 17:32:41;50.374522000;6.987972000;539.0;79.4;6.7;13.263;22.06;;\
T;2018-08-28 17:32:42;50.374575000;6.988250000;540.3;74.3;6.3;13.283;20.64;;\
T;2018-08-28 17:32:43;50.374621000;6.988488000;541.4;63.7;5.9;13.301;17.69;;\
T;2018-08-28 17:32:44;50.374652000;6.988708000;541.8;57.7;2.7;13.317;16.03;;\
T;2018-08-28 17:32:45;50.374659000;6.988906000;541.6;50.8;-1.4;13.331;14.11;;\
T;2018-08-28 17:32:46;50.374631000;6.989078000;542.2;45.5;5.0;13.344;12.63;;\
T;2018-08-28 17:32:47;50.374527000;6.989242000;542.8;59.1;3.6;13.360;16.43;;\
T;2018-08-28 17:32:48;50.374380000;6.989367000;542.7;67.0;-0.5;13.379;18.61;;\
T;2018-08-28 17:32:49;50.374214000;6.989385000;541.1;66.6;-9.0;13.397;18.51;;\
T;2018-08-28 17:32:50;50.374039000;6.989320000;540.8;72.0;-1.3;13.417;20.01;;\
T;2018-08-28 17:32:51;50.373875000;6.989171000;540.3;76.0;-2.2;13.439;21.10;;\
T;2018-08-28 17:32:52;50.373735000;6.988987000;541.7;73.2;6.5;13.459;20.34;;\
T;2018-08-28 17:32:53;50.373611000;6.988720000;541.8;84.5;0.5;13.482;23.47;;\
T;2018-08-28 17:32:54;50.373430000;6.988391000;543.3;111.1;5.0;13.513;30.87;;\
T;2018-08-28 17:32:55;50.373257000;6.988025000;545.1;116.6;5.3;13.546;32.38;;\
T;2018-08-28 17:32:56;50.373096000;6.987680000;548.0;109.4;9.8;13.576;30.38;;\
T;2018-08-28 17:32:57;50.372937000;6.987358000;551.1;104.2;10.7;13.605;28.94;;\
T;2018-08-28 17:32:58;50.372786000;6.987069000;553.3;95.6;8.2;13.631;26.55;;\
T;2018-08-28 17:32:59;50.372643000;6.986797000;553.5;90.2;0.7;13.657;25.05;;\
T;2018-08-28 17:33:00;50.372518000;6.986517000;553.3;87.5;-0.7;13.681;24.29;;\
T;2018-08-28 17:33:01;50.372402000;6.986248000;553.0;83.1;-1.3;13.704;23.08;;\
T;2018-08-28 17:33:02;50.372302000;6.986001000;553.6;74.9;2.7;13.725;20.80;;\
T;2018-08-28 17:33:03;50.372211000;6.985774000;555.3;68.6;9.1;13.744;19.06;;\
T;2018-08-28 17:33:04;50.372133000;6.985572000;556.9;60.4;9.3;13.761;16.79;;\
T;2018-08-28 17:33:05;50.372061000;6.985397000;557.8;53.3;6.3;13.775;14.80;;\
T;2018-08-28 17:33:06;50.371977000;6.985282000;559.4;44.7;12.6;13.788;12.42;;\
T;2018-08-28 17:33:07;50.371878000;6.985272000;560.7;39.7;11.9;13.799;11.04;;\
T;2018-08-28 17:33:08;50.371767000;6.985309000;561.9;45.4;9.2;13.811;12.62;;\
T;2018-08-28 17:33:09;50.371635000;6.985386000;562.9;56.4;6.7;13.827;15.67;;\
T;2018-08-28 17:33:10;50.371518000;6.985560000;563.0;64.7;0.3;13.845;17.96;;\
T;2018-08-28 17:33:11;50.371416000;6.985721000;562.3;58.0;-3.9;13.861;16.12;;\
T;2018-08-28 17:33:12;50.371331000;6.985895000;560.8;56.1;-10.1;13.877;15.58;;\
T;2018-08-28 17:33:13;50.371296000;6.986087000;559.1;51.1;-11.5;13.891;14.20;;\
T;2018-08-28 17:33:14;50.371341000;6.986258000;558.3;47.4;-6.1;13.904;13.15;;\
T;2018-08-28 17:33:16;50.371657000;6.986409000;556.9;66.2;-3.9;13.941;36.76;;\
T;2018-08-28 17:33:17;50.371814000;6.986533000;555.7;70.4;-6.0;13.960;19.57;;\
T;2018-08-28 17:33:18;50.372144000;6.986828000;555.0;152.2;-1.7;14.003;42.28;;\
T;2018-08-28 17:33:20;50.372518000;6.987551000;554.2;119.1;-1.3;14.069;66.15;;\
T;2018-08-28 17:33:21;50.372677000;6.987930000;554.5;116.1;1.1;14.101;32.25;;\
T;2018-08-28 17:33:22;50.372756000;6.988336000;555.7;108.7;3.9;14.131;30.19;;\
T;2018-08-28 17:33:23;50.372911000;6.988760000;556.1;125.1;1.1;14.166;34.74;;\
T;2018-08-28 17:33:24;50.373009000;6.989182000;556.2;115.0;0.4;14.198;31.94;;\
T;2018-08-28 17:33:25;50.373087000;6.989599000;556.7;111.3;1.8;14.229;30.91;;\
T;2018-08-28 17:33:26;50.373163000;6.989996000;559.8;106.1;10.4;14.258;29.48;;\
T;2018-08-28 17:33:27;50.373232000;6.990342000;561.2;92.8;5.4;14.284;25.78;;\
T;2018-08-28 17:33:28;50.373271000;6.990641000;562.8;78.2;7.2;14.306;21.71;;\
T;2018-08-28 17:33:29;50.373292000;6.990960000;564.1;82.1;6.1;14.329;22.81;;\
T;2018-08-28 17:33:30;50.373323000;6.991260000;566.6;77.8;11.5;14.350;21.62;;\
T;2018-08-28 17:33:31;50.373369000;6.991588000;570.6;86.0;16.7;14.374;23.89;;\
T;2018-08-28 17:33:32;50.373481000;6.991932000;573.4;98.9;10.0;14.402;27.46;;\
T;2018-08-28 17:33:33;50.373642000;6.992256000;577.5;105.1;14.1;14.431;29.19;;\
T;2018-08-28 17:33:34;50.373803000;6.992573000;581.2;103.7;12.9;14.460;28.80;;\
T;2018-08-28 17:33:35;50.373954000;6.992862000;583.4;95.6;8.5;14.486;26.55;;\
T;2018-08-28 17:33:36;50.374107000;6.993165000;585.7;98.9;8.2;14.514;27.46;;\
T;2018-08-28 17:33:37;50.374267000;6.993429000;588.3;93.1;9.9;14.540;25.87;;\
T;2018-08-28 17:33:38;50.374433000;6.993668000;590.6;90.4;9.3;14.565;25.10;;\
T;2018-08-28 17:33:39;50.374603000;6.993841000;594.9;81.2;18.8;14.587;22.56;;\
T;2018-08-28 17:33:40;50.374778000;6.993971000;597.7;77.6;13.0;14.609;21.55;;\
T;2018-08-28 17:33:41;50.374964000;6.994032000;600.1;76.1;11.3;14.630;21.14;;\
T;2018-08-28 17:33:42;50.375164000;6.993972000;602.7;81.6;11.5;14.653;22.65;;\
T;2018-08-28 17:33:43;50.375384000;6.993903000;605.6;89.9;11.7;14.678;24.96;;\
T;2018-08-28 17:33:44;50.375591000;6.993873000;608.5;83.2;12.4;14.701;23.12;;\
